City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Phonhong,18.5007,102.4166,76.48,93,100,1.9,LA,1653754620
Dingle,10.9995,122.6711,77.85,87,94,5.5,PH,1653754620
Cuamba,-14.8031,36.5372,70.47,59,56,7.65,MZ,1653754621
Beipiao,41.7919,120.7792,73.29,35,68,16.75,CN,1653754621
Las Vegas,36.175,-115.1372,83.44,17,0,16.11,US,1653753969
Namatanai,-3.6667,152.4333,78.44,80,100,2.75,PG,1653754622
Sasebo,33.1592,129.7228,71.01,83,100,4.29,JP,1653754622
Souillac,-20.5167,57.5167,75.58,73,40,11.5,MU,1653754623
Pevek,69.7008,170.3133,27.64,79,75,4.92,RU,1653754337
Labuan,5.2767,115.2417,80.96,89,20,2.3,MY,1653754623
Carnarvon,-24.8667,113.6333,68.22,76,100,11.92,AU,1653754624
Kaitangata,-46.2817,169.8464,42.4,90,26,3.96,NZ,1653754624
Kloulklubed,7.0419,134.2556,75.7,77,99,12.35,PW,1653754625
Morón,-34.6534,-58.6198,54.61,77,86,4.76,AR,1653754625
Olinda,-8.0089,-34.8553,73.13,94,100,5.75,BR,1653754626
Chapais,49.7834,-74.8492,58.78,63,94,12.64,CA,1653754513
Dikson,73.5069,80.5464,27.99,96,18,8.03,RU,1653754626
Oktyabr'skiy,54.4815,53.471,55.76,95,100,12.71,RU,1653754626
Paris,48.8534,2.3488,67.44,43,0,11.5,FR,1653754365
Esperance,-33.8667,121.9,55.18,78,61,25.43,AU,1653754627
Biltine,14.5333,20.9167,99.63,4,1,11.36,TD,1653754628
Chokurdakh,70.6333,147.9167,26.89,93,74,4.07,RU,1653754628
Hithadhoo,-0.6,73.0833,84.2,70,34,11.14,MV,1653754628
Stykkisholmur,65.0757,-22.7297,53.71,61,100,2.91,IS,1653754629
Passos,-20.7189,-46.6097,76.1,38,96,4.25,BR,1653754630
San Patricio,28.017,-97.5169,86.34,48,12,12.53,US,1653754630
Pangnirtung,66.1451,-65.7125,32.0,64,100,3.44,CA,1653754632
Atuona,-9.8,-139.0333,77.92,79,23,16.06,PF,1653754632
Port Lincoln,-34.7333,135.8667,53.92,72,94,5.46,AU,1653754632
Korla,41.7597,86.1469,79.39,30,73,2.26,CN,1653754504
Atemar,54.181,45.4091,53.35,72,1,18.75,RU,1653754633
Boké,10.9409,-14.2967,100.62,30,46,3.31,GN,1653754633
Terrace,54.5163,-128.6035,49.91,87,75,9.22,CA,1653754557
Albanel,48.8832,-72.4487,58.98,67,100,13.8,CA,1653754634
Alofi,-19.0595,-169.9187,75.09,94,97,3.44,NU,1653754634
Beni,0.5,29.4667,65.5,95,100,2.28,CD,1653754635
East London,-33.0153,27.9116,72.84,53,0,8.41,ZA,1653754635
Verín,41.9415,-7.4381,89.56,19,1,5.57,ES,1653754636
Talnakh,69.4865,88.3972,34.21,87,30,7.67,RU,1653754636
Puerto Peñasco,31.3167,-113.5333,76.91,68,14,14.0,MX,1653754636
Aklavik,68.2191,-135.0107,32.0,80,100,5.75,CA,1653754637
Akdepe,42.0551,59.3788,78.89,20,0,2.82,TM,1653754637
Upernavik,72.7868,-56.1549,28.74,74,44,8.03,GL,1653754638
Tabou,4.423,-7.3528,83.34,70,26,7.85,CI,1653754356
Arraial do Cabo,-22.9661,-42.0278,82.26,54,0,12.66,BR,1653754638
Porto-Novo,6.4965,2.6036,87.62,65,60,9.44,BJ,1653754639
Rafaela,-31.2503,-61.4867,56.98,66,100,3.0,AR,1653754639
Codrington,-38.2667,141.9667,51.58,79,97,4.54,AU,1653754639
Bahía Blanca,-38.7196,-62.2724,51.75,45,3,8.23,AR,1653754461
Sokoni,-6.4333,39.55,80.15,63,7,17.76,TZ,1653754640
Poum,-20.2333,164.0167,76.82,69,37,9.15,NC,1653754640
Ilulissat,69.2167,-51.1,35.62,80,75,11.5,GL,1653754641
Airai,-8.9266,125.4092,59.04,89,43,0.83,TL,1653754641
Chui,-33.6971,-53.4616,59.85,62,6,5.12,UY,1653754642
Moss Point,30.4116,-88.5345,81.72,59,0,0.0,US,1653754351
Ribeira Grande,38.5167,-28.7,66.6,52,20,14.97,PT,1653754642
Baiyin,36.5583,104.2081,65.73,50,100,26.11,CN,1653754643
Cockburn Town,21.4612,-71.1419,80.17,75,7,19.24,TC,1653754373
Beloha,-25.1667,45.05,63.5,70,6,8.21,MG,1653754643
Guerrero Negro,27.9769,-114.0611,65.01,69,67,16.37,MX,1653754643
Ishigaki,24.3448,124.1572,80.73,100,94,8.05,JP,1653754644
Taoudenni,22.6783,-3.9836,103.14,14,95,27.09,ML,1653754346
Iracoubo,5.4802,-53.2011,83.77,64,42,7.85,GF,1653754644
Sampit,-2.5333,112.95,75.31,88,99,2.33,ID,1653754645
Mabaruma,8.2,-59.7833,85.96,62,100,6.71,GY,1653754645
Cayenne,4.9333,-52.3333,85.08,25,40,12.66,GF,1653754645
Kapit,2.0167,112.9333,73.74,95,89,1.48,MY,1653754646
Diamantina,-18.2494,-43.6003,70.63,52,93,9.62,BR,1653754646
Iqaluit,63.7506,-68.5145,29.7,86,40,17.27,CA,1653754646
Margate,51.3813,1.3862,57.94,64,44,5.01,GB,1653754609
Yerbogachën,61.2767,108.0108,41.36,54,57,1.95,RU,1653754647
Ponta do Sol,32.6667,-17.1,71.82,53,88,9.51,PT,1653754647
Khatanga,71.9667,102.5,31.46,97,100,11.88,RU,1653754648
Awjilah,29.1081,21.2869,102.85,7,0,5.21,LY,1653754648
Naze,28.3667,129.4833,65.32,92,100,14.32,JP,1653754648
Baillif,16.0202,-61.7463,83.7,66,100,14.7,GP,1653754649
Sunrise Manor,36.2111,-115.0731,85.1,17,0,19.57,US,1653754649
Sittwe,20.15,92.9,82.83,84,56,4.61,MM,1653754651
Qingdao,36.0986,120.3719,69.4,83,94,8.95,CN,1653754651
Buluang,13.3068,123.3425,78.33,88,38,3.2,PH,1653754652
Andrelândia,-21.7397,-44.3092,70.57,46,100,4.27,BR,1653754652
Winnemucca,40.973,-117.7357,53.65,76,100,11.5,US,1653754652
Mehamn,71.0357,27.8492,46.31,79,52,17.29,NO,1653754593
Tari,12.4086,4.4914,103.5,20,6,2.73,NG,1653754653
Faanui,-16.4833,-151.75,80.91,68,6,15.82,PF,1653754653
Boa Vista,2.8197,-60.6733,87.78,58,40,12.66,BR,1653754654
Kindu,-2.95,25.95,69.98,97,96,4.88,CD,1653754654
Puerto Escondido,15.85,-97.0667,81.43,78,100,8.05,MX,1653754654
Chuchar-kana Mandi,31.75,73.8,97.52,19,10,8.43,PK,1653754655
Waingapu,-9.6567,120.2641,77.29,86,45,3.13,ID,1653754655
Swan Hill,-35.3378,143.5544,53.22,64,98,3.87,AU,1653754655
Sisimiut,66.9395,-53.6735,37.24,67,53,9.35,GL,1653754656
Lorengau,-2.0226,147.2712,79.23,74,100,2.13,PG,1653754656
Mount Gambier,-37.8333,140.7667,46.31,100,100,0.0,AU,1653754656
São João da Barra,-21.6403,-41.0511,82.49,66,100,10.42,BR,1653754491
Aljezur,37.3191,-8.8033,74.05,55,3,11.65,PT,1653754515
Ossora,59.2353,163.0719,36.99,98,100,3.42,RU,1653754657
Cidreira,-30.1811,-50.2056,63.9,94,98,4.18,BR,1653754657
Nuuk,64.1835,-51.7216,34.41,80,75,16.11,GL,1653754658
Korem,12.5058,39.5228,66.76,31,63,8.63,ET,1653754658
Geraldton,-28.7667,114.6,61.21,88,40,8.05,AU,1653754365
Skibbereen,51.55,-9.2667,62.11,72,16,10.36,IE,1653754659
Sémbé,1.6481,14.5806,79.2,79,80,2.62,CG,1653754659
Arrondissement de Fontenay-le-Comte,46.5833,-1.0,73.85,37,1,14.03,FR,1653754659
Farafangana,-22.8167,47.8333,69.98,67,45,7.14,MG,1653754660
Nantucket,41.2835,-70.0995,62.65,94,100,12.66,US,1653754620
Mae Sai,20.4335,99.8762,75.22,89,86,1.61,TH,1653754660
Yar-Sale,66.8333,70.8333,50.79,45,11,18.61,RU,1653754660
Hasaki,35.7333,140.8333,64.8,81,91,8.34,JP,1653754661
Eldorado,-23.7869,-54.2836,81.09,50,33,9.08,BR,1653754661
Tawao,4.2498,117.8871,78.93,82,83,2.44,MY,1653754662
Numan,9.4667,12.0333,101.07,24,19,4.81,NG,1653754662
Norman Wells,65.282,-126.8329,42.84,75,40,8.05,CA,1653754662
Svetlaya,46.5389,138.3297,46.76,97,100,13.38,RU,1653754663
Saskylakh,71.9167,114.0833,19.74,95,94,0.89,RU,1653754663
Puerto del Rosario,28.5004,-13.8627,74.95,60,20,18.41,ES,1653754663
Los Llanos de Aridane,28.6585,-17.9182,66.13,76,100,8.99,ES,1653754664
Mola di Bari,41.0609,17.0873,84.96,23,42,15.84,IT,1653754664
Adrar,20.5022,-10.0711,99.28,22,94,7.81,MR,1653754664
Hvolsvollur,63.7533,-20.2243,52.47,60,100,11.63,IS,1653754665
Nazarovo,56.0064,90.3914,51.96,51,9,4.9,RU,1653754665
Beringovskiy,63.05,179.3167,37.17,90,20,7.63,RU,1653754665
Abu Dhabi,24.4667,54.3667,87.75,51,0,5.75,AE,1653754666
Antalaha,-14.9003,50.2788,72.81,81,3,9.19,MG,1653754634
Deesa,24.25,72.1667,86.54,59,0,8.79,IN,1653754666
Koumac,-20.5667,164.2833,74.1,78,12,5.01,NC,1653754666
Ambon City,-3.6954,128.1814,75.34,94,40,2.3,ID,1653754667
Townsville,-19.25,146.8,59.88,88,24,0.0,AU,1653754667
Mackay,-21.15,149.2,59.68,78,1,7.05,AU,1653754630
Djibouti,11.5,42.5,90.3,29,33,9.98,DJ,1653754579
Honningsvåg,70.9821,25.9704,47.95,76,58,5.75,NO,1653754669
Kahului,20.8947,-156.47,73.58,84,40,11.5,US,1653754623
Kaeo,-35.1,173.7833,62.33,76,100,16.91,NZ,1653754669
Rawson,-43.3002,-65.1023,44.94,59,64,23.26,AR,1653754518
Ulaanbaatar,47.9077,106.8832,35.73,69,20,11.18,MN,1653754670
Pitimbu,-7.4706,-34.8086,77.59,87,100,5.86,BR,1653754670
Dalaba,10.7,-12.25,85.32,32,92,6.26,GN,1653754670
Elliot,-31.3333,27.85,60.31,41,1,12.84,ZA,1653754671
Arawa,-6.2132,155.5367,78.08,92,79,1.14,PG,1653754671
Ibrā’,22.6906,58.5334,91.6,28,0,13.65,OM,1653754671
Fougamou,-1.2154,10.5838,80.35,83,53,2.3,GA,1653754672
Ostrovnoy,68.0531,39.5131,48.78,71,98,12.75,RU,1653754672
Leningradskiy,69.3833,178.4167,28.63,91,100,2.71,RU,1653754672
Usinsk,65.9939,57.5281,67.01,38,0,19.89,RU,1653754673
Marsá Maţrūḩ,31.3525,27.2453,81.32,41,0,7.4,EG,1653754673
Fortuna,40.5982,-124.1573,57.06,87,100,13.8,US,1653754673
Altamira,-3.2033,-52.2064,82.54,77,25,3.58,BR,1653754674
Izhma,65.0083,53.9113,52.59,94,100,3.04,RU,1653754674
Oriximiná,-1.7656,-55.8661,85.66,66,5,4.21,BR,1653754588
Nhulunbuy,-12.2333,136.7667,77.61,83,40,4.61,AU,1653754674
Goya,-29.14,-59.2626,61.16,94,100,3.53,AR,1653754675
Vestmannaeyjar,63.4427,-20.2734,52.79,76,0,19.57,IS,1653754675
Katiola,8.1333,-5.1,88.43,60,75,3.29,CI,1653754568
Thaba-Tseka,-29.522,28.6084,46.74,56,0,7.96,LS,1653754676
Guadalupe y Calvo,26.1,-106.9667,76.57,20,43,4.23,MX,1653754676
Stonewall,50.1344,-97.3268,59.95,87,100,9.69,CA,1653754676
Bengkulu,-3.8004,102.2655,76.42,88,82,6.93,ID,1653754677
High Rock,26.6208,-78.2833,84.22,68,77,12.75,BS,1653754677
Bethel,41.3712,-73.414,70.9,84,100,3.44,US,1653754677
Sinnamary,5.3833,-52.95,84.29,64,15,8.41,GF,1653754663
Kidal,18.4411,1.4078,107.74,8,20,5.32,ML,1653754585
Benjamin Constant,-4.3831,-70.0311,80.65,78,40,3.44,BR,1653754678
Vestmanna,62.1564,-7.1664,47.32,57,0,5.75,FO,1653754678
Rocha,-34.4833,-54.3333,57.94,64,54,2.39,UY,1653754679
Chipinge,-20.1883,32.6236,57.88,91,30,6.15,ZW,1653754679
Pimenta Bueno,-11.6725,-61.1936,89.85,44,23,4.21,BR,1653754679
Belomorsk,64.5232,34.7668,52.11,75,68,6.53,RU,1653754680
Rochegda,62.8,43.25,55.78,80,83,7.81,RU,1653754680
Marsaxlokk,35.8419,14.5431,74.01,68,40,10.36,MT,1653754681
Mogadishu,2.0371,45.3438,80.04,77,18,14.56,SO,1653754681
Brewster,41.3973,-73.6171,70.84,87,100,3.44,US,1653754682
Dauphin,51.1494,-100.0502,55.54,98,100,6.91,CA,1653754682
Salalah,17.0151,54.0924,84.29,79,20,9.22,OM,1653754682
Şaru Dornei,47.2833,25.35,55.4,62,100,3.0,RO,1653754683
Lyubech,51.7026,30.6569,54.5,73,53,12.1,UA,1653754683
Bandarbeyla,9.4942,50.8122,81.19,80,24,27.31,SO,1653754684
Katherine,-14.4667,132.2667,64.72,55,67,5.75,AU,1653754684
Smithers,54.7804,-127.1743,46.67,86,100,2.84,CA,1653754685
Capão da Canoa,-29.7456,-50.0097,64.63,95,100,4.07,BR,1653754685
Kungurtug,50.5994,97.5228,44.49,43,1,2.82,RU,1653754687
Haines Junction,60.7522,-137.5108,49.95,57,74,2.3,CA,1653754687
Tyukhtet,56.5389,89.3011,52.75,49,30,6.64,RU,1653754688
Nushki,29.5542,66.0215,82.98,11,0,14.97,PK,1653754688
Pemba,-12.974,40.5178,79.5,83,75,17.6,MZ,1653754688
Santander Jiménez,24.2167,-98.4667,89.08,47,1,6.82,MX,1653754689
Ngunguru,-35.6167,174.5,61.12,68,100,19.89,NZ,1653754689
Hambantota,6.1241,81.1185,79.81,81,86,14.94,LK,1653754690
Polunochnoye,60.8697,60.4153,52.05,88,60,4.36,RU,1653754518
Vila Franca do Campo,37.7167,-25.4333,64.81,91,100,10.65,PT,1653754690
Tigre,-34.426,-58.5796,54.63,74,40,9.22,AR,1653754690
São Raimundo Nonato,-9.0153,-42.6994,91.38,29,9,8.48,BR,1653754691
Brae,60.3964,-1.353,45.7,74,100,22.12,GB,1653754691
Igrim,63.1906,64.4162,59.65,87,96,3.4,RU,1653754692
Vernon,50.2581,-119.2691,55.54,50,93,5.99,CA,1653754512
Acaraú,-2.8856,-40.12,82.35,77,35,13.11,BR,1653754692
Erdenet,49.0333,104.0833,36.27,70,86,5.37,MN,1653754693
Annecy-le-Vieux,45.9197,6.1439,72.21,31,35,13.8,FR,1653754693
Santa Rosa,14.3122,121.1114,78.21,90,87,5.14,PH,1653754436
Dolisie,-4.1997,12.6739,80.87,66,74,1.41,CG,1653754694
Verrettes,19.05,-72.4667,88.93,48,78,3.09,HT,1653754627
Aksha,50.2814,113.2867,45.19,32,100,10.58,RU,1653754694
Kavaratti,10.5669,72.642,82.85,75,13,5.12,IN,1653754695
Tumbagaan,5.3656,120.3139,80.62,79,80,3.85,PH,1653754695
Panino,51.6467,40.1346,56.84,69,10,8.41,RU,1653754695
Renqiu,38.6989,116.0936,87.21,23,59,21.25,CN,1653754696
Chernyshevskiy,63.0128,112.4714,38.73,56,41,3.91,RU,1653754696
Buin,-33.7333,-70.75,55.58,51,100,3.38,CL,1653754697
Port Montt,-41.4698,-72.9447,47.23,76,75,8.05,CL,1653754697
Peleduy,59.6289,112.7406,42.08,64,99,3.89,RU,1653754698
Guilin,25.2819,110.2864,75.31,98,100,0.74,CN,1653754698
Vilhena,-12.7406,-60.1458,82.62,61,75,10.36,BR,1653754698
Jakar,27.5492,90.7525,54.86,96,100,1.88,BT,1653754699
Padang,-0.9492,100.3543,75.25,78,95,3.13,ID,1653754699
Nanzhou,29.3596,112.4024,68.45,96,80,5.77,CN,1653754700
Sretensk,52.2453,117.7093,38.91,71,41,2.98,RU,1653754700
Capâo Bonito,-24.0058,-48.3494,77.74,41,19,6.96,BR,1653754701
Verkhnevilyuysk,63.4453,120.3167,41.68,58,100,5.1,RU,1653754701
Severo-Kuril'sk,50.6789,156.125,44.51,96,100,3.09,RU,1653754701
Tura,25.5198,90.2201,74.23,80,0,3.94,IN,1653754522
Katobu,-4.9408,122.5276,74.89,93,89,3.18,ID,1653754702
Mastic Beach,40.7668,-72.8521,66.49,94,100,14.0,US,1653754702
Colares,38.7992,-9.4469,69.19,68,20,13.0,PT,1653754703
Olafsvik,64.8945,-23.7142,50.54,74,100,12.03,IS,1653754703
Cherskiy,68.75,161.3,35.01,59,4,3.06,RU,1653754704
Belyy Yar,53.6039,91.3903,55.85,45,0,4.47,RU,1653754704
Gusinoye Ozero,51.1144,106.2614,44.91,50,33,9.1,RU,1653754705
Tamasane,-22.4184,27.4013,66.52,39,0,7.56,BW,1653754705
Barreiras,-12.1528,-44.99,91.31,21,3,5.23,BR,1653754705
Chivay,-15.6383,-71.6011,54.28,33,2,2.91,PE,1653754706
Porto Walter,-8.2686,-72.7439,79.79,89,34,1.63,BR,1653754706
Bathsheba,13.2167,-59.5167,83.01,74,40,16.11,BB,1653754668
Shubarkuduk,49.1447,56.4872,65.64,56,24,8.19,KZ,1653754708
Escárcega,18.6089,-90.7454,75.56,90,100,2.66,MX,1653754708
Necochea,-38.5473,-58.7368,50.94,46,67,8.86,AR,1653754709
Nishihara,26.1842,127.7558,74.91,100,75,10.36,JP,1653754709
Agde,43.3108,3.4758,84.63,27,0,19.57,FR,1653754709
Dwārka,22.2394,68.9678,81.3,87,4,17.94,IN,1653754710
Laguna,38.421,-121.4238,63.48,68,0,10.36,US,1653754662
Vanimo,-2.6741,141.3028,78.53,82,45,1.19,PG,1653754710
Bantry,51.6833,-9.45,61.79,64,22,7.92,IE,1653754710
Belmonte,-15.8631,-38.8828,80.28,64,29,8.19,BR,1653754711
Lakatoro,-16.0999,167.4164,77.11,81,8,6.67,VU,1653754711
Vardø,70.3705,31.1107,44.58,81,11,18.41,NO,1653754711
La Ronge,55.1001,-105.2842,55.65,58,75,11.5,CA,1653754712
Eyl,7.9803,49.8164,85.87,60,68,21.79,SO,1653754712
Bozhou,33.8772,115.7703,68.05,83,61,11.79,CN,1653754712
Bagdarin,54.4333,113.6,36.77,66,98,5.91,RU,1653754713
Ketchikan,55.3422,-131.6461,50.47,93,75,6.91,US,1653754713
